NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT06099223,Preoperative Acupuncture for Total Knee or Hip Arthroplasty,https://clinicaltrials.gov/study/NCT06099223,COMPLETED,NO,Knee Arthropathy|Hip Arthropathy|Anxiety,DEVICE: Acupuncture needles,Hartford Hospital,,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2022-03-21,2023-05-03,"Bone and Joint Institute- Hartford Hospital, Hartford, Connecticut, 06106, United States"
NCT06716411,Confirming the Effects of Acupuncture Treatments to Relieve Symptoms of Gulf War Illness,https://clinicaltrials.gov/study/NCT06716411,NOT_YET_RECRUITING,NO,Persian Gulf Syndrome|Gulf War Syndrome|Multiple Chronic Illnesses|Occupational Diseases|War-Related Injuries|Wounds and Injuries,DEVICE: Acupuncture,University of Utah,"United States Department of Defense|University of California, Berkeley|Beth Israel Deaconess Medical Center",ALL,"ADULT, OLDER_ADULT",200,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2024-12-01,2028-09-30,"University of California, Berkeley, Berkeley, California, 94720, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States|University of Utah, Salt Lake City, Utah, 84111, United States"
NCT03572608,Pregnancy Success Rates of Acupuncture for in Vitro Fertilization,https://clinicaltrials.gov/study/NCT03572608,UNKNOWN,NO,"Infertility, Female",OTHER: Acupuncture treatment,Ataturk University,,FEMALE,ADULT,120,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2018-06-01,2018-10-01,"Ataturk University Hospital, Erzurum, 25040, Turkey"
NCT02926378,Acupuncture for Stroke Recovery,https://clinicaltrials.gov/study/NCT02926378,TERMINATED,NO,Systematic Acupuncture,PROCEDURE: Acupuncture Treatments,NYU Langone Health,,ALL,ADULT,3,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2016-11-18,2017-06-28,"New York University School of Medicine, New York, New York, 10016, United States"
NCT02803736,Effectiveness of Acupuncture for Breast Cancer Related Lymphedema,https://clinicaltrials.gov/study/NCT02803736,UNKNOWN,NO,Breast Cancer|Lymphedema|Acupuncture,DEVICE: acupuncture,Fourth Affiliated Hospital of Guangxi Medical University,Liuzhou Hospital of Traditional Chinese Medicine|Liuzhou Maternity and Child Healthcare Hospital,FEMALE,ADULT,150,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2016-12,2019-12,
NCT02589938,Trial of Acupuncture for Radiation-Induced Xerostomia in Head and Neck Cancer,https://clinicaltrials.gov/study/NCT02589938,COMPLETED,YES,Radiation-Induced Xerostomia|Head and Neck Cancer|Radiation Toxicity|Oral Complications of Chemotherapy and Head/Neck Radiation,OTHER: Standard Oral Hygiene|OTHER: Standard Oral Hygiene + True Acupuncture|OTHER: Standard Oral Hygiene + Sham Acupuncture,Wake Forest University Health Sciences,,ALL,"ADULT, OLDER_ADULT",258,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2013-07-29,2022-07-29,"Providence Saint Joseph Medical Center/Disney Family Cancer Center, Burbank, California, 91505, United States|Kaiser Permanente-San Francisco, San Francisco, California, 94115, United States|Kaiser Permanente-Santa Teresa-San Jose, San Jose, California, 95119, United States|Kaiser Permanente-San Rafael, San Rafael, California, 94903, United States|Kaiser San Rafael-Gallinas, San Rafael, California, 94903, United States|Kaiser Permanente Medical Center - Santa Clara, Santa Clara, California, 95051, United States|Kaiser Permanente-Santa Rosa, Santa Rosa, California, 95403, United States|Kaiser Permanente-South San Francisco, South San Francisco, California, 94080, United States|Kaiser Permanente-Walnut Creek, Walnut Creek, California, 94596, United States|Queen's Medical Center, Honolulu, Hawaii, 96813, United States|University of Hawaii Cancer Center, Honolulu, Hawaii, 96813, United States|The Cancer Center of Hawaii-Liliha, Honolulu, Hawaii, 96817, United States|John H Stroger Jr Hospital of Cook County, Chicago, Illinois, 60612, United States|Physicians' Clinic of Iowa PC, Cedar Rapids, Iowa, 52402, United States|Saint Luke's Hospital, Cedar Rapids, Iowa, 52402, United States|Mercy Health Saint Mary's, Grand Rapids, Michigan, 49503, United States|Spectrum Health at Butterworth Campus, Grand Rapids, Michigan, 49503, United States|Mercy Hospital, Coon Rapids, Minnesota, 55433, United States|Fairview Southdale Hospital, Edina, Minnesota, 55435, United States|Hennepin County Medical Center, Minneapolis, Minnesota, 55415, United States|Park Nicollet Clinic - Saint Louis Park, Saint Louis Park, Minnesota, 55416, United States|University of New Mexico Cancer Center, Albuquerque, New Mexico, 87102, United States|Christus Saint Vincent Regional Cancer Center, Santa Fe, New Mexico, 87505, United States|Wake Forest University Health Sciences, Winston-Salem, North Carolina, 27157, United States|Adena Regional Medical Center, Chillicothe, Ohio, 45601, United States|Columbus Oncology and Hematology Associates Inc, Columbus, Ohio, 43214, United States|Providence Portland Medical Center, Portland, Oregon, 97213, United States|Prisma Health Cancer Institute - Spartanburg, Boiling Springs, South Carolina, 29316, United States|Prisma Health Greenville Memorial Hospital, Greenville, South Carolina, 29605, United States|Prisma Health Cancer Institute - Eastside, Greenville, South Carolina, 29615, United States|Prisma Health Cancer Institute - Seneca, Seneca, South Carolina, 29672, United States|Meharry Medical College, Nashville, Tennessee, 37208, United States|MD Anderson in The Woodlands, Conroe, Texas, 77384, United States|M D Anderson Cancer Center, Houston, Texas, 77030, United States|MD Anderson West Houston, Houston, Texas, 77079, United States|Providence Regional Cancer System-Lacey, Lacey, Washington, 98503, United States"
NCT03489681,Acupuncture Treatment for Chronic Sciatica: the Neuroimaging Pain-network Study,https://clinicaltrials.gov/study/NCT03489681,UNKNOWN,NO,"Therapy, Acupuncture|MRI, Functional",DEVICE: acupuncture,"Taipei Veterans General Hospital, Taiwan",Lotung Poh-Ai Hospital,ALL,"ADULT, OLDER_ADULT",80,OTHER_GOV,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2018-08-01,2020-01-31,"Taipei Veterans General Hospital, Taipei, Taiwan"
NCT03373032,Skin Sensitivity Acupuncture and Kinesiotherapy on Breast Cancer Patients Subject to Chemotherapy With Taxans,https://clinicaltrials.gov/study/NCT03373032,COMPLETED,NO,Chemotherapy Effect,OTHER: Stiper|OTHER: Acupuncture|OTHER: Exercise|OTHER: Follow Up|OTHER: Observation,Federal University of São Paulo,,FEMALE,"ADULT, OLDER_ADULT",79,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,2017-12-20,2023-04-30,"Brazil Federal University São Paulo, São Paulo, SP, 04020-060, Brazil"
NCT01043692,Acceptability of an Acupuncture Intervention in Painful Elderly,https://clinicaltrials.gov/study/NCT01043692,COMPLETED,NO,Chronic Pain,OTHER: Acupuncture,Assistance Publique - Hôpitaux de Paris,Fondation de France,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2007-10,2008-12,"HOPITAL RENE MURET BIGOTTINI - Dpt Interhosp. Santé Pub., Sevran, 93270, France"
NCT04733352,Using Omics Technology to Explore the Mechanism of Acupuncture Treatment of Different Acupoints of Knee Osteoarthritis,https://clinicaltrials.gov/study/NCT04733352,COMPLETED,NO,Acupuncture Therapy,OTHER: acupuncture,China Medical University Hospital,"National Health Research Institutes, Taiwan",ALL,"ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2020-10-12,2021-09-12,"Yiyuantang Chinese Medicine Clinic, Hsinchu, Taiwan|China Medical University Hospital, Taichung, 404, Taiwan"
