NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT06035380,The Effect of Aromatherapy to Women With Vasomotor Complaints on Menopausal Quality of Life and Vasomotor Symptoms,https://clinicaltrials.gov/study/NCT06035380,RECRUITING,NO,Aromatherapy,OTHER: placebo group|OTHER: mint oil group|OTHER: rose oil group,Eastern Mediterranean University,,FEMALE,"CHILD, ADULT, OLDER_ADULT",66,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2023-03-30,2023-12-31,"Eastern Mediterranean University, Famagusta, 99628, Cyprus"
NCT02445378,Aromatherapy and Essential Oils in Improving Insomnia and Other Symptoms in Patients With Newly Diagnosed Acute Leukemia Undergoing Chemotherapy,https://clinicaltrials.gov/study/NCT02445378,COMPLETED,NO,Acute Leukemia|Anorexia|Anxiety|Depression|Dyspnea|Insomnia|Nausea|Pain,PROCEDURE: Aromatherapy and Essential Oils|OTHER: Placebo|OTHER: Questionnaire Administration,Ohio State University Comprehensive Cancer Center,,ALL,"CHILD, ADULT, OLDER_ADULT",48,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: SUPPORTIVE_CARE",2014-12-28,2016-11-05,"Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States"
NCT06474793,Aromatherapy Applied to Intensive Care Nurses Effect on Fatigue and Sleep Quality,https://clinicaltrials.gov/study/NCT06474793,RECRUITING,NO,Aromatherapy,OTHER: Aromatherapy Intervention Group-1|OTHER: Aromatherapy Intervention Group-2|OTHER: Aromatherapy Placebo Control Group,TC Erciyes University,,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2025-03-15,2025-12-30,"Kayseri City Hospital, Kayseri, Kocasinan, 38010, Turkey"
NCT06603896,Effects of Different Aroma-therapies on Nursing Students.,https://clinicaltrials.gov/study/NCT06603896,NOT_YET_RECRUITING,NO,Nausea|Stress|Anxiety|Aromatherapy,OTHER: Aromatherapy,Pace University,,ALL,"ADULT, OLDER_ADULT",100,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: SINGLE (PARTICIPANT)|Primary Purpose: BASIC_SCIENCE,2024-10-01,2025-12-31,
NCT05910892,Aromatherapy and Pain,https://clinicaltrials.gov/study/NCT05910892,NOT_YET_RECRUITING,NO,Chronic Pain,DRUG: Aromatherapy packet|DRUG: Placebo packet,University of Washington,,ALL,"ADULT, OLDER_ADULT",25,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: PREVENTION",2023-07-01,2023-09-30,
NCT06761859,Aromatherapy Inhalation in Psychiatric Nurses,https://clinicaltrials.gov/study/NCT06761859,COMPLETED,NO,Aromatherapy,OTHER: Aromatherapy Inhalation in Psychiatric Nurses,SERDAR TÜRKYILMAZ,Çankırı Karatekin University,ALL,"ADULT, OLDER_ADULT",66,OTHER_GOV,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2025-01-01,2025-02-05,"Ankara Etlik City Hospital, Ankara, Yenimahalle, Turkey"
NCT05677698,Menoupausal Symptoms and Aromatherapy,https://clinicaltrials.gov/study/NCT05677698,COMPLETED,NO,Aromatherapy,OTHER: Lemon oil|OTHER: peppermint oil|OTHER: Almond oil,KTO Karatay University,,FEMALE,"ADULT, OLDER_ADULT",90,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,2022-12-27,2023-02-27,"KTO Karatay University, Konya, 42000, Turkey"
NCT05408650,Effect of Aromatherapy Massage on Sleep Quality of Post-operative Cardiothoracic Patients,https://clinicaltrials.gov/study/NCT05408650,UNKNOWN,NO,Aromatherapy,OTHER: Aromatherapy Massage,Mansoura University,,ALL,"ADULT, OLDER_ADULT",62,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2022-07-01,2022-12-30,
NCT05853744,Effect of Aromatherapy on Preoperative Anxiety Level,https://clinicaltrials.gov/study/NCT05853744,COMPLETED,NO,"Anxiety|Aromatherapy|Anesthesia, Spinal|Postoperative Period",DRUG: lavender essential oil inhaled using cotton balls|DRUG: lavender essential oil inhaled using face mask|DRUG: Distilled water,Mongi Slim Hospital,,ALL,"ADULT, OLDER_ADULT",90,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2023-08-02,2023-12-30,"Mongi Slim hospital, Tunis, 2085, Tunisia"
NCT05728190,"Effect of Aromatherapy on Pain, Anxiety and Sleep Quality in Burn Patients",https://clinicaltrials.gov/study/NCT05728190,COMPLETED,NO,Aromatherapy,OTHER: steril/salin water|OTHER: Lavender essential oil,Sema Koçaşlı,,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-10-01,2022-04-15,"Ankara Medipol University, Yenimahalle, Ankara, 06050, Turkey"
