NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT05219357,Ayurveda Based Intervention for Patients in Acute Psychiatric Crisis Situations,https://clinicaltrials.gov/study/NCT05219357,UNKNOWN,NO,Psychiatric Disorder,OTHER: Ayu-Care|DRUG: Usual-Care,Aarogyam UK,NMP Medical Research Institute|Croydon Ayurveda Centre|Active Naturals Limited|AVP Research Foundation,ALL,"ADULT, OLDER_ADULT",92,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-11-21,2022-01-30,"Gyansanjeevani, Jaipur, Rajasthan, India|NMP Medical Research Institite, Jaipur, Rajasthan, India"
NCT04395976,Ayurveda as Prophylaxis for Suspected COVID-19 Patients,https://clinicaltrials.gov/study/NCT04395976,WITHDRAWN,NO,Covid-19,OTHER: Ayurveda,British Ayurvedic Medical Council,All Party Parliamentary Group - Indian Traditional Sciences|University of Warwick,ALL,"ADULT, OLDER_ADULT",0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2020-05-10,2020-09-01,"British Ayurvedic Medical Council, London, United Kingdom"
NCT04716647,Feasibility of Ayurveda in Patients With Mild-to-Moderate COVID-19: A Community-Based Participatory Research,https://clinicaltrials.gov/study/NCT04716647,COMPLETED,NO,Covid19,OTHER: Ayurveda,Aarogyam UK,University of Warwick|Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University,ALL,"ADULT, OLDER_ADULT",28,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2020-10-09,2020-12-18,"Aarogyam UK, Leicester, Leicestershire, United Kingdom"
NCT02228343,A Prospective Trial of Ayurveda for Coronary Artery Disease,https://clinicaltrials.gov/study/NCT02228343,COMPLETED,YES,Coronary Artery Disease,OTHER: Ayurveda,University of New Mexico,,ALL,ADULT,22,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2013-01,2014-01,"University of New Mexico Medical Group McMahon Cardiology, Albuquerque, New Mexico, 87114, United States"
NCT02380989,Integrative Ayurveda Healing Relieves Minor Sports Injury Pain,https://clinicaltrials.gov/study/NCT02380989,COMPLETED,NO,Acute Pain|Sports Injury,DEVICE: Ayurveda|DEVICE: Placebo,Adwin Life Care,NMP Medical Research Institute,ALL,ADULT,210,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2014-09,2014-12,"NMP Medical Research Institute, Mahesana, Gujarat, India|Khatri educational trust, Satnali, Hariyana, India|GyanSanjeevani, Jaipur, Rajasthan, India"
NCT04345549,Ayurveda Self-Management for Flu Like Symptoms During the Covid-19 Outbreak,https://clinicaltrials.gov/study/NCT04345549,COMPLETED,NO,Flu Like Symptom|Flu Like Illness,OTHER: Individualised Ayurveda,Aarogyam UK,,ALL,ADULT,18,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2020-02-26,2020-03-30,"Aarogyam, Leicester, United Kingdom"
NCT04351542,Ayurveda for Flu Like Illness During Covid-19 Outbreak,https://clinicaltrials.gov/study/NCT04351542,COMPLETED,NO,Flu Like Illness,DIETARY_SUPPLEMENT: Ayurveda|OTHER: Usual Care,Aarogyam UK,,ALL,ADULT,32,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (CARE_PROVIDER)|Primary Purpose: SUPPORTIVE_CARE,2020-03-06,2020-04-12,"Aarogyam, Leicester, United Kingdom"
NCT06167226,Understanding Ayurveda Disease Conditions and Treatment Responses,https://clinicaltrials.gov/study/NCT06167226,COMPLETED,NO,Type2diabetes|Rheumatoid Arthritis|Osteo Arthritis Knee|Skin Diseases|Gastric Ulcer|Neurodegenerative Diseases,DRUG: Personalized Ayurveda treatment protocol,Ayurai Private Limited,SRM Medical College Hospital & Research Centre,ALL,"ADULT, OLDER_ADULT",497,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,2021-12-29,2023-03-31,"SRM Medical College Hospital & Research Centre, Chennai, Tamil Nadu, 603203, India"
NCT02477163,Ayurvedic Management of Chronic Kidney Disease,https://clinicaltrials.gov/study/NCT02477163,COMPLETED,NO,Diabetic Nephropathy|Hypertensive Nephropathy,OTHER: Ayurveda treatment,J.S. Ayurveda College,,ALL,"ADULT, OLDER_ADULT",521,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-01,2022-04-30,"P D Patel Ayurveda Hospital, Nadiad, Gujarat, 387001, India"
NCT04974853,"Cholesterol Lowering Effect of Cardio-Complement, an Ayurveda Formulation",https://clinicaltrials.gov/study/NCT04974853,COMPLETED,NO,Hypercholesterolemia,COMBINATION_PRODUCT: Cardio-complement,NMP Medical Research Institute,Aarogyam UK,ALL,"ADULT, OLDER_ADULT",22,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-06-01,2021-07-05,"Gyansanjeevani, Jaipur, Rajasthan, India"
