NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT06807762,Safety and Pharmacokinetics of Extrato De Cannabis Sativa GreenCare,https://clinicaltrials.gov/study/NCT06807762,RECRUITING,NO,Healthy,DRUG: Cannabis oil,GreenCare Pharma,,ALL,"ADULT, OLDER_ADULT",72,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2025-03-10,2025-12,"GreenCare Pharma, Vinhedo, Sao Paulo, 13288006, Brazil"
NCT04855526,THC + CBD and Memory Study,https://clinicaltrials.gov/study/NCT04855526,UNKNOWN,NO,Marijuana Use|Cannabis Use|Cannabis Intoxication,DRUG: High THC/No CBD Marihuana|DRUG: High THC/High CBD Marihuana|DRUG: No THC/No CBD Marihuana,Hartford Hospital,Yale University,ALL,ADULT,9,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2022-04-01,2022-06-30,
NCT00580671,Treatment for Adolescent Marijuana Abuse,https://clinicaltrials.gov/study/NCT00580671,COMPLETED,YES,Marijuana Abuse,BEHAVIORAL: MET/CBT|BEHAVIORAL: CM|BEHAVIORAL: BPT,Dartmouth-Hitchcock Medical Center,National Institute on Drug Abuse (NIDA),ALL,"CHILD, ADULT",153,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2007-11,2013-12,"Geisel School of Medicine at Dartmouth, Lebanon, New Hampshire, 03756, United States"
NCT03813602,Detection of Cannabis Impairment With an Eye Tracker,https://clinicaltrials.gov/study/NCT03813602,COMPLETED,NO,Cannabis Intoxication,DRUG: Cannabis Sativa,Centre for Addiction and Mental Health,,ALL,ADULT,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SCREENING,2019-08-15,2019-11-15,"Center for Addiction and Mental Health, Toronto, Ontario, M5S 2S1, Canada"
NCT04693884,Cannabis Inhalation: Effects on Cardiovascular Function During Rest and Exercise,https://clinicaltrials.gov/study/NCT04693884,ACTIVE_NOT_RECRUITING,NO,Cannabis|Cardiovascular Risk Factor,DRUG: Cannabis|DRUG: Cannabis|DRUG: Cannabis|DRUG: Cannabis,Jamie Burr,,ALL,ADULT,20,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: BASIC_SCIENCE,2021-09-01,2023-12,"University of Guelph, Guelph, Ontario, N1G2W1, Canada"
NCT03247244,Safety and Efficacy of Cannabis in Tourette Syndrome,https://clinicaltrials.gov/study/NCT03247244,TERMINATED,NO,Tourette Syndrome,DRUG: Cannabis|DRUG: Cannabis|DRUG: Cannabis,"University Health Network, Toronto",,ALL,"ADULT, OLDER_ADULT",15,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2018-01-15,2020-01-27,"Toronto Western Hospital - Tourette Syndrome Neurodevelopmental Clinic, Toronto, Ontario, M5T2S8, Canada"
NCT01748799,Fixed or Self-Titrated Dosages of Sativex on Cannabis Users,https://clinicaltrials.gov/study/NCT01748799,COMPLETED,YES,Cannabis Dependence,DRUG: Sativex|DRUG: Placebo,Centre for Addiction and Mental Health,Canadian Institutes of Health Research (CIHR),ALL,ADULT,16,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2013-02,2014-09,"Centre for Addiction and Mental Health, Toronto, Ontario, M5S 2S1, Canada"
NCT04841993,Pharmacokinetics and Pharmacological Effects of a Standardized Cannabis Preparation,https://clinicaltrials.gov/study/NCT04841993,COMPLETED,NO,Cannabis Use|Healthy Subjects,DRUG: Cannabis decoction|DRUG: Cannabis oil|DRUG: Vaporized cannabis,Germans Trias i Pujol Hospital,Fundació Institut Germans Trias i Pujol|Istituto Superiore di Sanità,ALL,ADULT,43,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: BASIC_SCIENCE,2018-12-10,2021-02-28,"Germans Trias i Pujol Hospital, Badalona, Barcelona, 08916, Spain"
NCT01323569,Abuse Potential of Sativex,https://clinicaltrials.gov/study/NCT01323569,COMPLETED,NO,Evaluation of Abuse Potential of Sativex,DRUG: Sativex|DRUG: Sativex|DRUG: Sativex|DRUG: Placebo|DRUG: Marinol|DRUG: Marinol,Jazz Pharmaceuticals,,ALL,ADULT,58,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2008-02,2008-06,"DecisionLine Clinical Research Corporation, Toronto, Ontario, M5V 2T3, Canada"
NCT00158249,Effects of Citicoline on Brain Function and Behavior in Marijuana-Dependent Individuals,https://clinicaltrials.gov/study/NCT00158249,COMPLETED,YES,Marijuana Abuse,DRUG: citicoline|DRUG: placebo,Mclean Hospital,National Institute on Drug Abuse (NIDA),ALL,ADULT,21,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2009-09,2014-10,"McLean Hospital, Department of Psychiatry, Belmont, Massachusetts, 02478 9106, United States"
NCT05234814,Fire Dragon Pot Moxibustion,https://clinicaltrials.gov/study/NCT05234814,COMPLETED,NO,Insomnia|Perimenopause,OTHER: Traditional Chinese Medicine auricular acupuncture point buried seeds therapy plus the fire dragon pot moxibustion therapy.|OTHER: Traditional Chinese Medicine auricular acupuncture point buried seeds therapy,Weihua Yu,,FEMALE,"CHILD, ADULT, OLDER_ADULT",70,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2020-01-01,2020-10-30,"The Third Affiliated Hospital of Anhui Medical University (The first people ' s Hospital of Hefei), Hefei, Anhui, China"
NCT03581058,Neural Correlates of Driving and Cannabis,https://clinicaltrials.gov/study/NCT03581058,UNKNOWN,NO,Cannabis Use|Driving Impaired,DRUG: Cannabis,Unity Health Toronto,"University Health Network, Toronto",ALL,ADULT,12,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2018-08-08,2020-12-31,"University Health Network, Toronto, Ontario, M5G 2C4, Canada"
