NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT01687881,Is Chiropractic Spinal Manipulative Therapy an Efficient Treatment Option in Cervicogenic Headache,https://clinicaltrials.gov/study/NCT01687881,COMPLETED,NO,Cervicogenic Headache,OTHER: Chiropractic|OTHER: Sham Chiropractic,"University Hospital, Akershus",Norwegian Foundation for Health and Rehabilitation|Norwegian Chiropractic Association,ALL,"ADULT, OLDER_ADULT",19,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2012-09,2014-05,"Research Centre, Akershus University Hospital, Lørenskog, 1478, Norway"
NCT06208163,The Effects of Chiropractic in a Population with High Central Adiposity,https://clinicaltrials.gov/study/NCT06208163,RECRUITING,NO,Abdominal Obesity,PROCEDURE: Chiropractic,Life University,University of Georgia,ALL,"ADULT, OLDER_ADULT",20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-11-04,2025-07-31,"Dr. Sid E. Williams Center for Chiropractic Research, Marietta, Georgia, 30067, United States"
NCT02749266,The Impact of Chiropractic Activator Adjustments on Mental Rotation and Line Judgment Reaction Time,https://clinicaltrials.gov/study/NCT02749266,COMPLETED,NO,Cognition - Other,OTHER: Chiropractic adjustment|OTHER: Sham chiropractic adjustment,Life University,University of Georgia,ALL,ADULT,16,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2014-06,2014-08,"Life University, Marietta, Georgia, 30060, United States"
NCT04087291,Veterans Response to Dosage in Chiropractic Therapy,https://clinicaltrials.gov/study/NCT04087291,ACTIVE_NOT_RECRUITING,NO,Low Back Pain|Patient Acceptance of Health Care|Veterans Health,OTHER: Chiropractic Care,Palmer College of Chiropractic,Yale University|University of Iowa|Dartmouth College|VA Connecticut Healthcare System|Minneapolis Veterans Affairs Medical Center|Iowa City VA Health Care System|VA Greater Los Angeles Healthcare System|Office of Research on Women's Health (ORWH)|National Center for Complementary and Integrative Health (NCCIH)|Duke University,ALL,"ADULT, OLDER_ADULT",766,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: HEALTH_SERVICES_RESEARCH",2021-02-23,2025-05-31,"VA Greater Los Angeles Health Care System, Los Angeles, California, 90073, United States|VA Connecticut Healthcare System, West Haven, Connecticut, 06516, United States|Iowa City VA Health Care System, Iowa City, Iowa, 52246, United States|Minneapolis VA Health Care System, Minneapolis, Minnesota, 55417, United States"
NCT03177616,Integrative Migraine Pain Alleviation Through Chiropractic Therapy,https://clinicaltrials.gov/study/NCT03177616,COMPLETED,NO,"Migraine|Migraine Disorders|Migraine With Aura|Migraine Without Aura|Migraine, Classic",OTHER: Chiropractic Treatment,Harvard University Faculty of Medicine,Brigham and Women's Hospital|Palmer Center for Chiropractic Research (PCCR),FEMALE,ADULT,61,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2017-06-07,2022-11-04,"The Osher Clinical Center for Integrative Medicine at Brigham and Women's Hospital, Boston, Massachusetts, 02467, United States"
NCT00964717,Chiropractic for Back and Neck Pain in an Emergency Department Setting,https://clinicaltrials.gov/study/NCT00964717,COMPLETED,NO,Back Pain|Neck Pain|Anxiety,PROCEDURE: real chiropractic|PROCEDURE: Sham Chiropractic,Assaf-Harofeh Medical Center,,ALL,ADULT,52,OTHER_GOV,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2009-05,2011-09,"Asaf Harofeh Medical Center, Beer Yaakov, Zerifin, 70300, Israel"
NCT06235671,Effects of Chiropractic on Chronic Cancer-related Fatigue,https://clinicaltrials.gov/study/NCT06235671,NOT_YET_RECRUITING,NO,Cancer|Fatigue,PROCEDURE: Chiropractic care,Life University,,ALL,"ADULT, OLDER_ADULT",20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-03-01,2024-12-31,"Dr. Sid E. Williams Center for Chiropractic Research, Atlanta, Georgia, 30308, United States"
NCT05884437,The Effects of Chiropractic in Adults With Metabolic Syndrome,https://clinicaltrials.gov/study/NCT05884437,SUSPENDED,NO,Metabolic Syndrome,PROCEDURE: Chiropractic adjustment,Life University,,ALL,"ADULT, OLDER_ADULT",10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2025-01-01,2025-12-16,"Dr. Sid E. Williams Center for Chiropractic Research, Marietta, Georgia, 30067, United States"
NCT06151184,Post-concussion Syndrome and Chiropractic,https://clinicaltrials.gov/study/NCT06151184,RECRUITING,NO,Post-Concussion Syndrome,PROCEDURE: Chiropractic adjustment,Life University,,ALL,"ADULT, OLDER_ADULT",10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2024-01-27,2026-07-31,"Dr. Sid E. Williams Center for Chiropractic Research, Marietta, Georgia, 30067, United States"
NCT05027178,Stroke Patients Receiving Chiropractic Care Post-rehabilitation,https://clinicaltrials.gov/study/NCT05027178,TERMINATED,NO,Stroke,OTHER: Chiropractic Care,Life University,,ALL,"ADULT, OLDER_ADULT",6,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2020-08-07,2022-11-01,"Life University Center for Chiropractic Research, Atlanta, Georgia, 30308, United States"
