NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT03805113,Efficacy of Magnetotherapy in Hand Erosive Osteoarthritis.,https://clinicaltrials.gov/study/NCT03805113,COMPLETED,NO,Musculoskeletal Disease|Musculoskeletal Pain|Physical Therapy,DEVICE: Magnetotherapy device|DEVICE: Placebo,Hospital Mutua de Terrassa,,ALL,"ADULT, OLDER_ADULT",19,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2016-01-02,2019-02-02,
NCT04866745,Magnetotherapy Versus Microwave Combined With Exercise for Knee Osteoarthritis.,https://clinicaltrials.gov/study/NCT04866745,COMPLETED,NO,Knee Osteoarthritis|Pain,DEVICE: Magnetotherapy plus exercise|DEVICE: Microwave plus exercise|DEVICE: Sham Magnetotherapy plus exercise,University of Castilla-La Mancha,Centro de Salud Talavera Centro y Centro de Salud La Algodonera.|Clínica Radiodiagnóstico Marazuela|Empresa Helios Electromedicina S.L.,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-06-10,2023-07-25,"Juan Avendaño Coy, Talavera De La Reina, Toledo, 45600, Spain"
NCT06085287,Electromagnetic Therapy for Autism Spectrum Disorder,https://clinicaltrials.gov/study/NCT06085287,RECRUITING,NO,Autism Spectrum Disorder,DEVICE: Electromagnetic therapy,The University of Hong Kong,,ALL,CHILD,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2024-03-01,2025-12-31,"Clinical Services Centres, The School of Chinese Medicine, The University of Hong Kong, Hong Kong, Hong Kong"
NCT04426513,Magnetotherapy in Rheumatoid Arthritis Treatment,https://clinicaltrials.gov/study/NCT04426513,COMPLETED,NO,Rheumatoid Arthritis|Hand Rheumatism,OTHER: Kinesiotherapy with magnetotherapy,Jolanta Zwolińska,,ALL,"ADULT, OLDER_ADULT",62,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-05-20,2020-11-30,"St. Hedvig Clinical Provincial Hospital No. 2, ul. Lwowska 60, Rzeszów, Subcarpathian, 35-301, Poland"
NCT05920746,Treatment of Rheumatoid Hand With Magnetotherapy,https://clinicaltrials.gov/study/NCT05920746,COMPLETED,NO,Rheumatoid Arthritis|Hand Rheumatism,OTHER: Kinesiotherapy with magnetotherapy,Jolanta Zwolińska,,ALL,"ADULT, OLDER_ADULT",72,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-03-01,2023-01-05,"Laboratorium Czynników Fizykalnych w Rehabilitacji w Przyrodniczo-Medycznym Centrum Badań Innowacyjnych Uniwersytetu Rzeszowskiego, Rzeszów, Podkarpackie, 35-310 Rzeszów, Poland"
NCT01842204,Evaluation of the Efficacy of Electromagnetic Therapy on Postoperative Surgical Pain After Uni- and Bilateral Inguinal Hernia Repair.,https://clinicaltrials.gov/study/NCT01842204,COMPLETED,NO,Inguinal Hernias,DEVICE: Magnetic field therapy device|DEVICE: Non magnetic field therapy device.,"University Hospital, Ghent",BioElectronics Corporation,ALL,"ADULT, OLDER_ADULT",50,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",2013-05,2023-08,"Ghent University Hospital, Ghent, 9000, Belgium"
NCT00922012,Efficacy of Electromagnetic Stimulation Therapy for Chronic Prostatitis and Chronic Pelvic Pain Syndrome,https://clinicaltrials.gov/study/NCT00922012,COMPLETED,NO,Chronic Prostatitis|Chronic Pelvic Pain Syndrome,DEVICE: Electromagnetic Stimulation Therapy,Samsung Medical Center,M-cube technology,MALE,"ADULT, OLDER_ADULT",50,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2007-11,2009-12,"Samsung Medical Center, Seoul, 135-710, Korea, Republic of"
NCT01475604,"Impact of Noninvasive Targeted Pulsed Electromagnetic Field (tPEMF) on Opioid Use, Pain, and Joint Function Following Total Knee Arthroplasty",https://clinicaltrials.gov/study/NCT01475604,TERMINATED,NO,"Osteoarthritis, Knee",DEVICE: Ivivi Torino II|DEVICE: Ivivi Torino II,"Amp Orthopedics, Inc.",,ALL,"ADULT, OLDER_ADULT",23,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2011-11,2012-07,"Anderson Orthopaedic Research Institute, Alexandria, Virginia, 22306, United States"
NCT02423486,The Comparison of Efficacy Between Electromagnetic Stimulation Therapy and Electromagnetic Stimulation Therapy With Extracorporeal Biofeedback,https://clinicaltrials.gov/study/NCT02423486,COMPLETED,NO,Urinary Stress Incontinence,DEVICE: Electromagnetic stimulation therapy (BIOCON-2000)|DEVICE: Electromagnetic stimulation therapy with biofeedback,Samsung Medical Center,,FEMALE,"ADULT, OLDER_ADULT",66,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2013-11,2019-11-28,"Samsung Medical Center, Seoul, 135-710, Korea, Republic of"
NCT05057871,Efficacy of Pulse Electromagnetic Field Therapy (PEMF) in Patients With Subacromial Impingement Syndrome,https://clinicaltrials.gov/study/NCT05057871,COMPLETED,NO,Shoulder Pain|Musculoskeletal Diseases|Subacromial Impingement Syndrome|Shoulder Injuries and Disorders,DEVICE: Pulse electromagnetic field therapy|DEVICE: Sham pulse electromagnetic field therapy,Afyonkarahisar Health Sciences University,,ALL,"ADULT, OLDER_ADULT",80,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-01-01,2022-06-01,"Afyonkarahisar Health Sciences University, Afyonkarahi̇sar, 03200, Turkey"
