NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT02972515,"Mobile Application for Guided Imagery to Address Smoking, Diet and Physical Activity",https://clinicaltrials.gov/study/NCT02972515,COMPLETED,YES,Smoking Cessation,BEHAVIORAL: See Me Smoke-Free|DEVICE: Smart phone,University of Arizona,West Virginia University|National Cancer Institute (NCI),FEMALE,"ADULT, OLDER_ADULT",166,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2013-01,2016-12-30,
NCT06537570,The Effect of Guided Imagery Practice on Psychosocial Health and Fear of Childbirth in Primiparous Pregnant Women,https://clinicaltrials.gov/study/NCT06537570,COMPLETED,NO,Pregnancy Related,BEHAVIORAL: Guided Imagery Practice,University of Gaziantep,,FEMALE,ADULT,80,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2022-07-20,2024-01-01,"Gaziantep Univeristy, Gaziantep, 0027, Turkey"
NCT04765800,Differential Efficacy of Guided Imagery Psychotherapy: Non-Inferiority Trial and Exploration of Differential Indication,https://clinicaltrials.gov/study/NCT04765800,RECRUITING,NO,Emotional Disorders,"BEHAVIORAL: weekly, biweekly, or twice a week sessions of face-to-face outpatient psychotherapy",University of Kassel,Deutsche Gesellschaft für Katathym Imaginative Psychotherapie (DGKIP)|International Psychoanalytic University Berlin,ALL,"ADULT, OLDER_ADULT",180,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-02-15,2027-12,"University of Kassel, Kassel, Hessen, 34127, Germany"
NCT06669442,The Effectiveness of Guided Imagery on PCL-5 Scores in Adult Women with Post-Traumatic Stress Disorder,https://clinicaltrials.gov/study/NCT06669442,RECRUITING,NO,Post Traumatic Stress Disorder PTSD,BEHAVIORAL: Guided Imagery,Nova Southeastern University,,FEMALE,"ADULT, OLDER_ADULT",15,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2025-01-08,2025-02-19,"Jessie Trice Community Health Systems, Miami, Florida, 33142, United States"
NCT03917979,The Bonny Method of Guided Imagery and Music (GIM) in the Treatment of Depression,https://clinicaltrials.gov/study/NCT03917979,UNKNOWN,NO,Depression,BEHAVIORAL: Individual GIM|BEHAVIORAL: Waitlist Control,Aalborg University,Appalachian State University,ALL,"ADULT, OLDER_ADULT",30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2019-03-20,2020-08-20,"Guided Imagery and Music Research, Westfield, Massachusetts, 01085, United States|Guided Imagery and Music Research, Saint Paul, Minnesota, 55110, United States"
NCT06610513,Guided Imagery on Pregnancy Stress and Sleep Quality in Risky Pregnancy,https://clinicaltrials.gov/study/NCT06610513,ACTIVE_NOT_RECRUITING,NO,Effect of Guided Imagery Application on Pregnancy Stress and Sleep Quality in Risky Pregnant Women Will Be Checked,BEHAVIORAL: Guided imagery,Cukurova University,,FEMALE,ADULT,48,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2023-02-01,2024-12-31,"Adana City Training and Research Hospital, Adana, Sariçam, 01330, Turkey"
NCT04789967,Effects of Imagery Therapy vs Progressive Muscle Relaxation Therapy on Patients With Functional Abdominal Bloating,https://clinicaltrials.gov/study/NCT04789967,COMPLETED,NO,Functional Gastrointestinal Disorders,BEHAVIORAL: Guided Imagery|BEHAVIORAL: Progressive Muscle Relaxation|OTHER: Educational Audiobook,Universiti Sains Malaysia,,ALL,"ADULT, OLDER_ADULT",96,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-02-25,2022-08-30,"Universiti Sains Malaysia, Kubang Kerian, Kelantan, 16150, Malaysia"
NCT00826735,The Effect of Guided Imagery on the Third Stage of Labor,https://clinicaltrials.gov/study/NCT00826735,COMPLETED,NO,Third Stage of Labor|Bleeding|Guided Imagery|Childbirth,BEHAVIORAL: Guided imagery,Vanderbilt University,"Sigma Theta Tau International, Iota chapter|Sigma Theta Tau International, Delta Psi chapter|American College of Nurse-Midwive - ACNM Foundation",FEMALE,ADULT,,OTHER,INTERVENTIONAL,Allocation: |Intervention Model: |Masking: |Primary Purpose: PREVENTION,2007-01,2007-12,"Vanderbilt University Medical Center, Nashville, Tennessee, 37240, United States"
NCT05021289,Guided Imagery on the Perceived Stress Level in High-Risk Pregnancies,https://clinicaltrials.gov/study/NCT05021289,COMPLETED,NO,High Risk Pregnancy,BEHAVIORAL: guided imagery,Nursel Alp Dal,,FEMALE,"ADULT, OLDER_ADULT",128,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2021-02-01,2021-05-01,"Munzur University, Tunceli, Merkez, 62002, Turkey"
NCT01895595,Guided Imagery Intervention for Obese Latino Adolescents,https://clinicaltrials.gov/study/NCT01895595,COMPLETED,NO,Obesity|Insulin Resistance|Metabolic Syndrome,BEHAVIORAL: Guided Imagery|BEHAVIORAL: Digital Storytelling,University of Southern California,,ALL,CHILD,51,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2007-01,2008-12,"University of Southern California, Los Angeles, California, 90033, United States"
