NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT03838952,The Efficacy of Traditional Chinese Herbal Medicine for Dementia,https://clinicaltrials.gov/study/NCT03838952,UNKNOWN,NO,Dementia|Alzheimer Disease,DRUG: Herbal medicine,"Taipei Veterans General Hospital, Taiwan",,ALL,OLDER_ADULT,20,OTHER_GOV,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-02-11,2020-12-31,"Taipei Veterans General Hospital, Taipei, 112, Taiwan"
NCT00564473,Use of Herbal Medicine in Internal Medicine Wards,https://clinicaltrials.gov/study/NCT00564473,COMPLETED,NO,Herb-drug Interactions,BEHAVIORAL: questionnaire,Shaare Zedek Medical Center,,ALL,"ADULT, OLDER_ADULT",200,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2008-06,2010-02,"Shaare Zedek Medical Center, Jerusalem, 91031, Israel|Shaare Zedek Medical Center, Jerusalem, Israel"
NCT04104113,Health-related Quality of Life-intervention in Survivors of Breast and Other Cancers Experiencing Cancer-related Fatigue Using Traditional Chinese Medicine: The HERBAL Trial,https://clinicaltrials.gov/study/NCT04104113,UNKNOWN,NO,Cancer|Fatigue|Cognitive Impairment,OTHER: Modified Xiang Bei Yang Rong Tang|OTHER: Placebo,National University of Singapore,"National Cancer Centre, Singapore|Singapore Thong Chai Medical Institute",ALL,"ADULT, OLDER_ADULT",80,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2019-10-24,2022-06-09,"National Cancer Centre Singapore, Singapore, 169610, Singapore"
NCT06048276,Miscarriage Preventing Herbal Medicines and the Risk of Birth Defects: a Population-based Cohort Study,https://clinicaltrials.gov/study/NCT06048276,ACTIVE_NOT_RECRUITING,NO,Pregnancy|Birth Defects|Drug Exposures,"DRUG: Herbal medicines (e.g., Yunkang granules, Duzhong granules)",West China Hospital,Xiamen Health Commission|Xiamen Health and Medical Big Data Center,FEMALE,"CHILD, ADULT",200000,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2023-01-01,2024-12-31,"Xiamen Health and Medical Big Data Center, Xiamen, Fujian, 361008, China"
NCT04702659,Chinese Medicine Zhengyi Prescription Tea Bag,https://clinicaltrials.gov/study/NCT04702659,COMPLETED,NO,Herbal Interaction,,"Taipei Veterans General Hospital, Taiwan",,ALL,"ADULT, OLDER_ADULT",70,OTHER_GOV,OBSERVATIONAL,Observational Model: |Time Perspective: p,2021-01-10,2022-06-15,"Center for Traditional Medicine, Taipei Veterans General Hospital, Taipei, 112, Taiwan"
NCT06187376,Chinese Herbal Medicine for Gynecologic Patients,https://clinicaltrials.gov/study/NCT06187376,WITHDRAWN,NO,Dysmenorrhea,DRUG: Chinese Herbal Medicine (CHM) supplement|DRUG: Placebo,Icahn School of Medicine at Mount Sinai,"Zenchi, Inc.",FEMALE,ADULT,0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2024-07,2024-07-16,"Mount Sinai Faculty Practice Associates, New York, New York, 10029, United States"
NCT05045469,Therapeutic Effects of Topical Herbal Medicine -Rhubarb Ointment on Rosacea,https://clinicaltrials.gov/study/NCT05045469,UNKNOWN,NO,Rosacea|Chinese Herbal Medicine,DRUG: dian dao san,Chang Gung Memorial Hospital,,ALL,"ADULT, OLDER_ADULT",24,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-08-04,2023-08-04,"Keelung Chang Gung Memorial Hospital, Keelung, Taiwan"
NCT04668222,Changing Susceptible Body Constitution for COVID-19 Prevention by Chinese Medicine in Hong Kong Residents,https://clinicaltrials.gov/study/NCT04668222,UNKNOWN,NO,COVID19|Herbal Medicine,"DRUG: Yu-Ping-Feng formula|DRUG: Xiang-Sha-Liu-Jun formula|DRUG: Liu-Wei-Di-Huang formula|DRUG: Placebo for ""Deficiency of Qi and Yang""|DRUG: Placebo for ""Deficiency of Qi and Yin""",The University of Hong Kong,,ALL,"ADULT, OLDER_ADULT",480,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2021-04-30,2022-11-30,"The University of Hong Kong, Hong Kong, Hong Kong, China, 999077, Hong Kong"
NCT06315101,Effectiveness and Safety of Lenvatinib Combined With Chinese Herbal Medicine for Patients With Unresectable Hepatocellular Carcinoma: A Real-world Study in China,https://clinicaltrials.gov/study/NCT06315101,COMPLETED,NO,Unresectable Hepatocellular Carcinoma,DRUG: Chinese Herbal Medicine,Guangzhou University of Chinese Medicine,,ALL,"ADULT, OLDER_ADULT",142,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2023-09-01,2023-12-31,"the First Affiliated Hospital of Guangzhou University of Chinese Medicine, Guangzhou, Guangdong, 510407, China"
NCT03072225,Study on Vulnerable Plaque of Carotid Artery With Chinese Herbal and Insects Medicine,https://clinicaltrials.gov/study/NCT03072225,UNKNOWN,NO,Carotid Artery Plaque,DRUG: Herbal Medicine C-117|DRUG: The Placebo of Herbal Medicine C-117,Guangzhou University of Traditional Chinese Medicine,,ALL,"ADULT, OLDER_ADULT",120,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2017-03,2018-12,
