NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT01523938,Influence of Perioperative Hypnotherapy on Postoperative Improvement in Cognitive Performance,https://clinicaltrials.gov/study/NCT01523938,TERMINATED,NO,Hypnotherapy,BEHAVIORAL: Hypnotherapy,"Charite University, Berlin, Germany",,ALL,"ADULT, OLDER_ADULT",72,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2012-03,2016-07,"Department of Anaesthesiology and Intensive Care Medicine, Campus Virchow-Klinikum (CVK) and Campus Charite Mitte (CCM), Charite - Universitätsmedizin, Berlin, 13353, Germany"
NCT03884270,Functional Dyspepsia Hypnosis,https://clinicaltrials.gov/study/NCT03884270,COMPLETED,YES,Functional Dyspepsia,BEHAVIORAL: Hypnotherapy,Sarah Kinsinger,,ALL,"ADULT, OLDER_ADULT",23,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-05-03,2020-11-03,"Loyola University Medical Center, Maywood, Illinois, 60153, United States"
NCT01567241,Clinical Hypnosis During Insemination or Embryotransfer,https://clinicaltrials.gov/study/NCT01567241,UNKNOWN,NO,Reproduction Dysfunction,OTHER: clinical hypnosis or relaxation music,Johann Wolfgang Goethe University Hospital,,FEMALE,"ADULT, OLDER_ADULT",282,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: ",2012-03,2014-03,"Klinik für Frauenheilkunde und Geburtshilfe, Frankfurt, Hessen, 60590, Germany"
NCT05818969,Effects of Hypnosis Therapy on Outcomes in Total Knee Replacement,https://clinicaltrials.gov/study/NCT05818969,COMPLETED,NO,Anxiety|Opioid Use,BEHAVIORAL: Hypnosis Therapy,Foundation for Orthopaedic Research and Education,,ALL,"ADULT, OLDER_ADULT",73,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2022-02-01,2023-12-31,"Florida Orthopaedic Institute, Tampa, Florida, 33637, United States"
NCT05572606,Treatment of Symptomatic Bloating Using a Novel Hypnotherapy Protocol,https://clinicaltrials.gov/study/NCT05572606,ACTIVE_NOT_RECRUITING,NO,Bloating,BEHAVIORAL: Hypnotherapy,Mayo Clinic,,ALL,"ADULT, OLDER_ADULT",25,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-11-30,2025-10,"Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States"
NCT04889833,Effects of Hypnosis Therapy on Outcomes in Shoulder Replacement Therapy,https://clinicaltrials.gov/study/NCT04889833,COMPLETED,NO,Anxiety|Opioid Use,BEHAVIORAL: hypnosis therapy,Foundation for Orthopaedic Research and Education,,ALL,"ADULT, OLDER_ADULT",144,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2020-12-19,2023-12-01,"Florida Orthopaedic Institute, Tampa, Florida, 33637, United States"
NCT03809195,Clinical Hypnosis in Pediatric Crohn's Disease,https://clinicaltrials.gov/study/NCT03809195,COMPLETED,NO,Pediatric Crohns Disease,BEHAVIORAL: Clinical Hypnosis,Vanderbilt University Medical Center,,ALL,"CHILD, ADULT",40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2019-02-14,2020-05-01,"Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States"
NCT04234737,Efficacy of Hypnotherapy in Children With Dental Anxiety,https://clinicaltrials.gov/study/NCT04234737,COMPLETED,NO,Dental Anxiety,BEHAVIORAL: Hypnotherapy,Ataturk University,,ALL,CHILD,60,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2019-09-15,2020-02-15,"Ataturk University Faculty of Dentistry Pediatric Dentistry Department, Erzurum, Turkey"
NCT01248013,Irritable Bowel Syndrome Hypnotherapy,https://clinicaltrials.gov/study/NCT01248013,COMPLETED,YES,Irritable Bowel Syndrome,BEHAVIORAL: gut focused hypnotherapy,Mind-Body Digestive Center,,ALL,"ADULT, OLDER_ADULT",89,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2005-09,2009-12,"Mind Body Digestive Center, New York, New York, 10023, United States"
NCT04786405,"Mindfulness Meditation Versus Clinical Hypnosis for Acute, Experimental Pain",https://clinicaltrials.gov/study/NCT04786405,COMPLETED,NO,Mindfulness Meditation|Clinical Hypnosis,BEHAVIORAL: Mindfulness meditation|BEHAVIORAL: Clinical hypnosis,The University of Queensland,,ALL,"ADULT, OLDER_ADULT",105,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2021-03-15,2023-11-29,"The University of Queensland, Brisbane, Queensland, 4072, Australia"
