NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT01071109,The Clinical and Biochemical Effect of Therapeutic Massage on Fatigue and Insomnia in Women With Breast Cancer Receiving Radiation Therapy,https://clinicaltrials.gov/study/NCT01071109,UNKNOWN,NO,Breast Cancer|Fatigue|Insomnia,PROCEDURE: Therapeutic Massage,Floyd Memorial Hospital and Health Services,Indiana University,FEMALE,"ADULT, OLDER_ADULT",48,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2010-11,2012-04,"FMHHS Cancer Care Center, New Albany, Indiana, 47150, United States"
NCT04916223,Study to Determine Therapeutic Massage Dosing to Improve Quality of Life in Hospitalized Patients Receiving Palliative Care,https://clinicaltrials.gov/study/NCT04916223,COMPLETED,NO,Cancer|Heart Failure|COPD|Sepsis|HIV Infections|ESRD|Trauma|Stroke,OTHER: Therapeutic massage,Medstar Health Research Institute,,ALL,"ADULT, OLDER_ADULT",405,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2017-11-01,2019-03-26,"MedStar Washington Hospital Center, Washington, District of Columbia, 20010, United States"
NCT03415230,Effect of Therapeutic Massage on Sleep Quality and Stress Levels in Women With Breast Cancer,https://clinicaltrials.gov/study/NCT03415230,COMPLETED,NO,Sleep Disturbance|Anxiety,OTHER: Therapeutic massage|OTHER: Sham massage,Cyprus University of Technology,Cyprus Anticancer Society,FEMALE,ADULT,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",2018-04-01,2019-01-09,"Oncology Centre, Nicosia, 2006, Cyprus"
NCT00611221,Massage Therapy Study: Massage Therapy and Labour Outcomes,https://clinicaltrials.gov/study/NCT00611221,COMPLETED,NO,Pain During Labour,PROCEDURE: Massage|PROCEDURE: Massage,University of British Columbia,Massage Therapy Foundation|Holistic Health Research,FEMALE,ADULT,77,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2008-01,2009-05,"BC Women's Hospital, Vancouver, British Columbia, V6H 3N1, Canada"
NCT00975026,Measuring the Feasibility and the Effects of Chair Massage on Pain and Discomfort in the Cardiac Sonographer,https://clinicaltrials.gov/study/NCT00975026,COMPLETED,NO,Overuse Injury|Repetitive Strain Injury,PROCEDURE: Massages ± Stretches,Mayo Clinic,,ALL,"ADULT, OLDER_ADULT",45,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2008-09,2009-01,"Mayo Clinic, Rochester, Minnesota, 55905, United States"
NCT00992979,Therapeutic Massage to Manage Withdrawal Related Anxiety,https://clinicaltrials.gov/study/NCT00992979,COMPLETED,NO,Substance Withdrawal Syndrome|Drug Withdrawal Symptoms|Anxiety,PROCEDURE: Therapeutic Massage|PROCEDURE: Relaxation Control,Dalhousie University,Holistic Health Research Foundation of Canada,ALL,"ADULT, OLDER_ADULT",80,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2008-06,2009-01,"Addiction Prevention and Treatment Services; Capital District, Halifax, Nova Scotia, B2Y 3Z6, Canada"
NCT02537119,Massage Therapy on Hamstrings in Patients With Nonspecific Low Back Pain,https://clinicaltrials.gov/study/NCT02537119,COMPLETED,NO,Low Back Pain,PROCEDURE: Dynamic massage therapy|PROCEDURE: Massage therapy,Cardenal Herrera University,,ALL,"ADULT, OLDER_ADULT",20,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2015-05,2016-01,"CEU Cardenal Herrera University, Moncada, Valencia, 46113, Spain"
NCT02835352,Essential Oils on Anxiety of Patients Suffering From Cancer,https://clinicaltrials.gov/study/NCT02835352,TERMINATED,NO,Neoplasm Metastasis,OTHER: Essential oils massages|OTHER: Oil massages,Center Eugene Marquis,,ALL,"ADULT, OLDER_ADULT",29,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2016-06-21,2017-05-01,"Centre Eugène Marquis, Rennes, France"
NCT02880202,Impact of Massage Therapy on the Quality of Life of Hospice Patients,https://clinicaltrials.gov/study/NCT02880202,COMPLETED,NO,Pain|Anxiety|Depression|Quality of Life,OTHER: Massage Therapy,Mayo Clinic,,ALL,"CHILD, ADULT, OLDER_ADULT",53,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2016-08,2018-12,"Mayo Clinic, Rochester, Minnesota, 55905, United States"
NCT06424158,Massage Therapy After Thoracic or Lumbar Surgery,https://clinicaltrials.gov/study/NCT06424158,RECRUITING,NO,"Scoliosis; Adolescence|Adolescent Idiopathic Scoliosis, Thoracic Region|Adolescent Idiopathic Scoliosis, Lumbar Region",OTHER: Massage Therapy,Cook Children's Health Care System,,ALL,"CHILD, ADULT",100,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-02-17,2026-08-01,"Cook Children's Medical Center, Fort Worth, Texas, 76104, United States"
NCT06493149,Tensegrity Principle in Massage Therapy on Selected Anatomical Examples,https://clinicaltrials.gov/study/NCT06493149,RECRUITING,NO,Healthy,OTHER: Massage therapy,Wroclaw University of Health and Sport Sciences,,MALE,ADULT,80,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2024-06-01,2024-08-31,"Wroclaw University of Health and Sport Sciences, Wrocław, Poland"
NCT01307826,Massage in Treating Painful Shoulder,https://clinicaltrials.gov/study/NCT01307826,COMPLETED,NO,Shoulder Pain Syndrome|Pain|Frozen Shoulder,OTHER: massage|OTHER: massage,Wroclaw University of Health and Sport Sciences,,ALL,"ADULT, OLDER_ADULT",,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2008-01,2010-09,"University School of Physical Education in Wrocław, Wrocław, Wroclaw destrict, 51-612, Poland"
NCT03124238,Effect of Massage Therapy on Muscle Fatigue,https://clinicaltrials.gov/study/NCT03124238,COMPLETED,NO,Low Back Pain,OTHER: Massage,Université du Québec à Trois-Rivières,,ALL,"ADULT, OLDER_ADULT",36,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2016-05-01,2016-11-01,
NCT05366673,Effect of Massage Therapy on Fatigue and Sleep Quality in Patients With Heart Failure in Intensive Care Unit,https://clinicaltrials.gov/study/NCT05366673,COMPLETED,NO,Massage|Heart Failure,OTHER: massage,National Yang Ming Chiao Tung University,,ALL,"ADULT, OLDER_ADULT",106,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: OTHER,2021-10-31,2022-12-17,"Taipei Veterans General Hospital Taoyuan Branch, Taoyuan, 330, Taiwan"
NCT04765891,Positional Release Therapy and Therapeutic Massage Reduce Muscle Trigger and Tender Points,https://clinicaltrials.gov/study/NCT04765891,COMPLETED,NO,"Trigger Point Pain, Myofascial",OTHER: Positional release therapy|OTHER: Therapeutic Massage,Brigham Young University,,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2017-12-05,2018-02-09,"Brigham Young University, Provo, Utah, 84606, United States"
NCT00029198,Preterm Infants' Weight Gain Following Massage Therapy,https://clinicaltrials.gov/study/NCT00029198,COMPLETED,NO,Premature Birth,PROCEDURE: massage|PROCEDURE: Sham massage,University of Miami,National Center for Complementary and Integrative Health (NCCIH),ALL,CHILD,139,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2003-04,2008-03,"University of Miami School of Medicine, Miami, Florida, 33136, United States"
NCT01354028,Effects of Massage Therapy to Induce Sleep in Preterm Infants,https://clinicaltrials.gov/study/NCT01354028,COMPLETED,YES,Premature Birth of Newborn,OTHER: Massage therapy,University of Arkansas,,ALL,CHILD,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2011-03,2012-06,"Arkansas Children's Hospital, Little Rock, Arkansas, 72202, United States"
NCT06377176,"Postpartum Massage Therapy for Women and Infants: The Effect on Maternal Depression, Stress, Fatigue and Infant Temperament",https://clinicaltrials.gov/study/NCT06377176,COMPLETED,NO,Postpartum Depression,OTHER: Massage therapy,National Taipei University of Nursing and Health Sciences,,ALL,"CHILD, ADULT",102,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-06-16,2021-10-03,"Community Health Center, Sleman, Yogyakarta, 55584, Indonesia"
