NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT06424951,Kindness is Lesser Preferable Than Happiness: Investigating Interest in Different Effects of the Loving-kindness and Compassion Meditations,https://clinicaltrials.gov/study/NCT06424951,COMPLETED,NO,Meditation,BEHAVIORAL: LKCM(Loving-kindness and Compassion Meditations),Beijing Normal University,,ALL,"CHILD, ADULT, OLDER_ADULT",1658,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2019-02-01,2020-08-01,"Beijing Normal University, Beijing, China"
NCT06746987,The Effect of Meditation Applied to Elderly Individulas on Sleep Quality and Psychological Well- Being,https://clinicaltrials.gov/study/NCT06746987,ENROLLING_BY_INVITATION,NO,Sleep Quality and Psychological Well- Being,OTHER: Meditation,Mersin University,,ALL,OLDER_ADULT,34,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2025-01-27,2025-03-28,"Turkey, Mersin University, Mersin, Turkey"
NCT01537679,Meditation to Reduce Caregiver Stress,https://clinicaltrials.gov/study/NCT01537679,COMPLETED,NO,Depression NOS|Major Depressive Disorder|Anxiety NOS,BEHAVIORAL: Kirtan Kriya meditation|BEHAVIORAL: Relaxation,"University of California, Los Angeles",,ALL,"ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2010-03,2012-01,"UCLA Semel Institute, Los Angeles, California, 90095, United States"
NCT02096484,A Feasibility Study of Group Metacognitive Therapy Versus Mindfulness Meditation Therapy,https://clinicaltrials.gov/study/NCT02096484,COMPLETED,NO,Generalized Anxiety Disorder,BEHAVIORAL: Group Metacognitive Therapy|BEHAVIORAL: Mindfulness Meditation Therapy,University of Manchester,,ALL,"ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2014-08,2016-06,"The Rawnsley Building, Manchester Royal Infirmary, Oxford Road, Manchester, Lancashire, M23 9LT, United Kingdom"
NCT02313779,Meditation and Decision Making Study III,https://clinicaltrials.gov/study/NCT02313779,COMPLETED,NO,Meditation,BEHAVIORAL: Lovingkindness Meditation (LKM)|BEHAVIORAL: Mindfulness Meditation,"Barbara L. Fredrickson, PhD",National Center for Complementary and Integrative Health (NCCIH),ALL,ADULT,240,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: BASIC_SCIENCE",2014-12,2015-10,"UNC PEP Lab, Chapel Hill, North Carolina, 27514, United States"
NCT04632875,Online Trial of Meditation and Behavior,https://clinicaltrials.gov/study/NCT04632875,COMPLETED,NO,Meditation,BEHAVIORAL: Loving-Kindness Meditation|BEHAVIORAL: Relaxation Meditation,Georgetown University,,ALL,ADULT,75,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2020-12-04,2021-06-10,"Georgetown University, Washington, District of Columbia, 20007, United States"
NCT05314166,Impact of Face-to-face Meditation on Non-attachment to Self and Identity Threat,https://clinicaltrials.gov/study/NCT05314166,UNKNOWN,NO,Meditation,OTHER: meditation practice,Université de Reims Champagne-Ardenne,,ALL,"ADULT, OLDER_ADULT",200,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: BASIC_SCIENCE,2022-05-15,2023-07-15,
NCT03459690,EEG Changes With Guided Online Meditation,https://clinicaltrials.gov/study/NCT03459690,COMPLETED,YES,Meditation,BEHAVIORAL: Meditation|DEVICE: Enobio 32- EEG machine,Beth Israel Deaconess Medical Center,,ALL,"ADULT, OLDER_ADULT",13,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2018-05-29,2019-04-30,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States"
NCT03117478,Brain and Mindfulness,https://clinicaltrials.gov/study/NCT03117478,COMPLETED,NO,Healthy,OTHER: Magneto-encephalography (MEG)|OTHER: Electro-encephalography (EEG)|OTHER: Functional Magnetic Resonance Imaging (fMRI)|OTHER: Anatomical Magnetic Resonance Imaging (aMRI)|OTHER: Meditation,Hospices Civils de Lyon,,ALL,"ADULT, OLDER_ADULT",169,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2016-03-19,2019-10-16,"Le Vinatier, Bron, 69500, France"
NCT05285488,Impact of Distance Meditation on Non-attachment to the Self and Identity Threat,https://clinicaltrials.gov/study/NCT05285488,UNKNOWN,NO,Meditation,"OTHER: ""focused attention"" group",Université de Reims Champagne-Ardenne,,ALL,"ADULT, OLDER_ADULT",200,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: BASIC_SCIENCE,2022-03-28,2023-06-01,"Université de Reims-Champagne-Ardenne, Reims, Grand-Est, 51100, France"
NCT06560658,Optimizing Microdosing and Meditation,https://clinicaltrials.gov/study/NCT06560658,NOT_YET_RECRUITING,NO,Meditation|Microdosing,DRUG: Psilocybin|BEHAVIORAL: Meditation,National University of Natural Medicine,,ALL,"ADULT, OLDER_ADULT",24,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2024-10-01,2025-11-01,"National University of Natural Medicine, Portland, Oregon, 97201, United States"
NCT02280304,Meditation in Veterans With PTSD and Mild TBI,https://clinicaltrials.gov/study/NCT02280304,COMPLETED,YES,"Stress Disorders, Post-Traumatic|Concussion, Mild",BEHAVIORAL: Inner Resources for Veterans (IRV)|BEHAVIORAL: Essential Skills therapy,VA Office of Research and Development,Palo Alto University,ALL,ADULT,46,FED,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2014-11-03,2018-03-26,"Michael E. DeBakey VA Medical Center, Houston, TX, Houston, Texas, 77030, United States"
NCT06500377,Comparing the Impact of Four Types of Meditation Practices for Relaxation in Cancer Survivors,https://clinicaltrials.gov/study/NCT06500377,RECRUITING,NO,Hematopoietic and Lymphatic System Neoplasm|Malignant Solid Neoplasm,PROCEDURE: Biospecimen Collection|PROCEDURE: Meditation Therapy|PROCEDURE: Meditation Therapy|PROCEDURE: Meditation Therapy|PROCEDURE: Meditation Therapy|OTHER: Questionnaire Administration,City of Hope Medical Center,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",44,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2024-06-17,2026-06-17,"City of Hope Medical Center, Duarte, California, 91010, United States|City of Hope at Irvine Lennar, Irvine, California, 92618, United States"
NCT04721379,Effect of Heartfulness Meditation on Brain Waves and How Calm One Feels During Meditation,https://clinicaltrials.gov/study/NCT04721379,UNKNOWN,NO,Anxiety|Stress,BEHAVIORAL: Meditation,WellSpan Health,,ALL,"ADULT, OLDER_ADULT",80,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2021-07-31,2023-02-15,"WellSpan Dover Sleep Center, Dover, Pennsylvania, 17315, United States"
