NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT04058119,Mind-Body Therapies in Primary Health Care,https://clinicaltrials.gov/study/NCT04058119,UNKNOWN,NO,Psychological Stress,BEHAVIORAL: Mind-body therapies,Unidade de Saude da Ilha de Sao Miguel,,ALL,"ADULT, OLDER_ADULT",200,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2020-02,2021-12,"Centro de Saúde de Ponta Delgada (Unidade de Saúde da Ilha de São Miguel), Ponta Delgada, Azores, 9500-354, Portugal"
NCT01074788,Mind Body Therapy During Geriatric Rehabilitation,https://clinicaltrials.gov/study/NCT01074788,UNKNOWN,NO,Patients Who Are in Need of Short or Long Term Rehabilitation Due to Neurological Event (Mainly Stroke) or Post Orthopedic Surgery,BEHAVIORAL: mind body therapy,Tel-Aviv Sourasky Medical Center,,ALL,"ADULT, OLDER_ADULT",30,OTHER_GOV,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2009-11,,"Tel Aviv Medical Center; ,, Tel Aviv, 64239, Israel"
NCT04791527,Online Wellness Intervention for Primary Biliary Cholangitis (PBC),https://clinicaltrials.gov/study/NCT04791527,COMPLETED,NO,Primary Biliary Cirrhosis,BEHAVIORAL: Mind-body therapy,University of Alberta,,ALL,"ADULT, OLDER_ADULT",34,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-02-14,2023-12-31,"University of Alberta, Edmonton, Alberta, T6G2C8, Canada"
NCT05313724,Mind-body Online Therapy in Gynecological Oncology,https://clinicaltrials.gov/study/NCT05313724,RECRUITING,NO,Gynecologic Cancer,OTHER: Mind-Body Online Therapy,Katja Haemmerli Keller,University of Bern,FEMALE,"ADULT, OLDER_ADULT",120,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2022-07-01,2024-08-31,"Clinic for Psychosomatic Medicine and Consultation-Liaison Psychiatry, St.Gallen, 9007, Switzerland"
NCT04689646,Mind Body Syndrome Therapy for Chronic Pain,https://clinicaltrials.gov/study/NCT04689646,RECRUITING,NO,Chronic Pain|Chronic Pain Syndrome,BEHAVIORAL: Mind Body Intervention 1|BEHAVIORAL: Mind body intervention 2,Beth Israel Deaconess Medical Center,,ALL,"ADULT, OLDER_ADULT",150,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-05-20,2026-06,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States"
NCT04039139,Mind Body Therapy for the Treatment of Chronic Pain,https://clinicaltrials.gov/study/NCT04039139,COMPLETED,NO,Chronic Pain|Chronic Pain Syndrome,BEHAVIORAL: Mind Body Intervention 1: Mind-Body-Syndrome-Therapy (MBST)|BEHAVIORAL: Mind Body Intervention 2,Beth Israel Deaconess Medical Center,,ALL,"ADULT, OLDER_ADULT",35,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2019-07-30,2020-04-20,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States"
NCT04612387,Online Wellness Intervention in Medical Students,https://clinicaltrials.gov/study/NCT04612387,COMPLETED,NO,"Stress, Psychological|Mind Body Therapy|Wellbeing",BEHAVIORAL: Mind-body therapy,University of Alberta,,ALL,"ADULT, OLDER_ADULT",65,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-10-25,2021-04-30,"University of Alberta, Edmonton, Alberta, T6G 2C8, Canada"
NCT00001966,Mind-Body Therapy for Pain in Ehlers-Danlos Syndrome,https://clinicaltrials.gov/study/NCT00001966,COMPLETED,NO,Ehlers-Danlos Syndrome|Pain,DRUG: Mind-body therapy,National Human Genome Research Institute (NHGRI),,ALL,"CHILD, ADULT, OLDER_ADULT",40,NIH,INTERVENTIONAL,Allocation: |Intervention Model: |Masking: |Primary Purpose: TREATMENT,2000-01,2001-01,"National Human Genome Research Institute (NHGRI), Bethesda, Maryland, 20892, United States"
NCT00983593,A Randomized Clinical Study of a Mind-Body Approach to Domestic Violence Offender Treatment,https://clinicaltrials.gov/study/NCT00983593,COMPLETED,NO,Domestic Violence|Intimate Partner Violence,BEHAVIORAL: Mind-Body Bridging,University of Utah,,MALE,"ADULT, OLDER_ADULT",100,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2009-09,2013-09,"ACES, Salt Lake City, Utah, 84115, United States"
NCT05622799,Mind-Body Medicine Training for Incarcerated Men and Women,https://clinicaltrials.gov/study/NCT05622799,COMPLETED,NO,Resilience,BEHAVIORAL: Mind-Body Medicine Training Program,The Center for Mind-Body Medicine,Simon Family Foundation,ALL,"ADULT, OLDER_ADULT",46,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2022-11-21,2024-02-19,"Indiana Department of Correction, Indianapolis, Indiana, 46204, United States"
