NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Completion Date,Locations
NCT04759170,The Effects of Recorded Receptive Music Therapy on Oral Nutrition and the Well-being of the Italian Premature Baby,https://clinicaltrials.gov/study/NCT04759170,COMPLETED,NO,Music Therapy,OTHER: Music therapy,Ospedale di Circolo - Fondazione Macchi,,ALL,CHILD,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2021-12-27,"Ospedale F. Del Ponte, Varese, 21100, Italy"
NCT04806204,Music Therapy in Coronary Angiography,https://clinicaltrials.gov/study/NCT04806204,UNKNOWN,NO,Nursing Caries|Complementary Therapies|Cardiology,OTHER: music therapy,Abant Izzet Baysal University,,ALL,"ADULT, OLDER_ADULT",102,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2021-12-27,"Bolu Abant Izzet Baysal University Izzet Baysal Training and Research Hospital, Bolu, Center, 14280, Turkey"
NCT04155528,Effect of Music Therapy on Postoperative Health Outcomes,https://clinicaltrials.gov/study/NCT04155528,UNKNOWN,NO,Music Therapy,OTHER: Music therapy,Cairo University,Princess Nourah Bint Abdulrahman University,ALL,ADULT,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-12-01,
NCT04335240,Premature Family Music Therapy Intervention (PFMI),https://clinicaltrials.gov/study/NCT04335240,UNKNOWN,NO,Music Therapy,"OTHER: Premature family music therapy intervention to support parenting, attachment bond and preterm development",Ospedale di Circolo - Fondazione Macchi,,ALL,CHILD,90,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2022-12-01,"Ospedale F. Del Ponte, Varese, 21100, Italy"
NCT06756919,"EFFECTS OF MUSIC THERAPY DURING ENDOSCOPY ON PAIN, ANXIETY AND VITAL SIGNS",https://clinicaltrials.gov/study/NCT06756919,COMPLETED,NO,Music Therapy,BEHAVIORAL: Music intervention,Ankara Yildirim Beyazıt University,,ALL,"ADULT, OLDER_ADULT",75,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2024-11-01,"Ankara Yıldırım Beyazıt University, Ankara, 06520, Turkey"
NCT06450626,Music Therapy at TMH Infusion Center,https://clinicaltrials.gov/study/NCT06450626,COMPLETED,NO,Music Therapy,OTHER: Listening Music Intervention,Brown University,The Warren Alpert Medical School of Brown University,ALL,"ADULT, OLDER_ADULT",50,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2024-12-31,"Lifespan Cancer Institute at The Miriam Hospital, Providence, Rhode Island, 02906, United States"
NCT05980468,The Effect of Music Therapy on Nurses,https://clinicaltrials.gov/study/NCT05980468,COMPLETED,NO,Music Therapy,OTHER: music therapy,TC Erciyes University,,ALL,"ADULT, OLDER_ADULT",96,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2023-09-27,"Sevda Korkut, Talas, Kayseri, 0(553) 310 49 51, Turkey"
NCT05676151,Study of Music Therapy in Pain Rehabilitation Programs,https://clinicaltrials.gov/study/NCT05676151,COMPLETED,NO,Music Therapy,BEHAVIORAL: Music Therapy,Mayo Clinic,,ALL,"ADULT, OLDER_ADULT",39,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2024-06-01,"Mayo Clinic Florida, Jacksonville, Florida, 32224, United States"
NCT05602662,Music as a Complement to Pharmacological Sedation in Ventilator Treated ICU Patients.,https://clinicaltrials.gov/study/NCT05602662,RECRUITING,NO,Music Therapy,BEHAVIORAL: Music,Karlstad Central Hospital,,ALL,"ADULT, OLDER_ADULT",100,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2023-12-31,"Department of Anesthesia & Intensive Care, Karlstad, Värmland, 65181, Sweden"
NCT05971459,A Study of the Efficacy of IAMT as an Assessment Tool for Prediction of Progression of Parkinson's Disease,https://clinicaltrials.gov/study/NCT05971459,RECRUITING,NO,Parkinson Disease,BEHAVIORAL: Improvised Active Music Therapy,Wilfrid Laurier University,,ALL,"ADULT, OLDER_ADULT",50,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2024-12-30,"Wilfrid Laurier University, Waterloo, Ontario, N2L 3C5, Canada"
