NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT02584049,Osteopathic Medicine in the Management of Care-induced Pain in Elderly Care (OGéDIS),https://clinicaltrials.gov/study/NCT02584049,TERMINATED,NO,Pain,OTHER: Osteopathy|OTHER: Sham osteopathy,Hôpital NOVO,ESO Paris Recherche,ALL,OLDER_ADULT,18,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2015-12-02,2018-01-31,"René Dubos Hospital - Geriatric care and rehabilitation department, Pontoise, Ile De France, 95303, France|Intercommunal Hospital Group of Vexin - Geriatric care and rehabilitation department, Marines, 95640, France"
NCT05664230,Efficacy of Osteopathic Treatment on the Side Effects of Curative Treatments of Lymphoblastic Leukemia in Pediatrics,https://clinicaltrials.gov/study/NCT05664230,UNKNOWN,NO,Lymphoblastic Leukemia,OTHER: osteopathy,Assistance Publique - Hôpitaux de Paris,,ALL,CHILD,15,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2023-01-01,2023-08-01,"Robert Debré Hospital, Paris, 75019, France"
NCT03382236,Evaluating the Effectiveness of Osteopathy in the Management of Pain in Elderly People,https://clinicaltrials.gov/study/NCT03382236,UNKNOWN,NO,Osteopathy,OTHER: osteopathy,Léa Gouaux,BTP RMS|ESO Paris Recherche,ALL,OLDER_ADULT,52,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2017-01-03,2018-12-31,"Lea Gouaux, Paris, Ile De France, 77420, France"
NCT03916939,Osteopathic Treatment to Alcohol Withdrawal Syndrome,https://clinicaltrials.gov/study/NCT03916939,UNKNOWN,NO,Alcohol Withdrawal,OTHER: osteopathy|OTHER: simulated osteopathy,Centre Hospitalier Intercommunal Creteil,Ecole Supérieur d'Ostéopathie,ALL,"ADULT, OLDER_ADULT",50,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2018-09-26,2024-02-13,"Chi Creteil, Creteil, 94000, France"
NCT04159311,Osteopathy on IBS Symptoms in Patients With Ulcerative Colitis in Remission,https://clinicaltrials.gov/study/NCT04159311,TERMINATED,NO,Irritable Bowel Syndrome|Ulcerative Colitis,OTHER: Osteopathy,Clinique Paris-Bercy,,ALL,"ADULT, OLDER_ADULT",8,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2019-11-18,2021-11-02,"Clinique Paris Bercy, Charenton Le Pont, 94220, France"
NCT02343237,Osteopathic Medicine in Fibromyalgia Syndrome,https://clinicaltrials.gov/study/NCT02343237,COMPLETED,NO,Fibromyalgia Syndrome,PROCEDURE: Osteopathic treatment|PROCEDURE: Factitious osteopathic treatment,Assistance Publique - Hôpitaux de Paris,,ALL,"ADULT, OLDER_ADULT",101,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2015-12-02,2018-07-27,"Hotel-Dieu Hospital, Paris, Ile-de-France, 75004, France"
NCT06802120,Effects of Osteopathic Management on Disability and Quality of Life After Lumbar Arthrodesis,https://clinicaltrials.gov/study/NCT06802120,RECRUITING,NO,Chirurgical Intervention,OTHER: osteopathy real|OTHER: sham osteopathy,Clinique Bizet,Institut De La Colonne Vertebrale Et Des Neurosciences|Ecole Supérieur d'Ostéopathie,ALL,"ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2025-01-02,2027-05,"Clinique Bizet, Paris, 75116, France"
NCT06649903,Cervical Spinal Manipulation and Visteral Osteopathy for Mechanical Neck Pain,https://clinicaltrials.gov/study/NCT06649903,COMPLETED,NO,Neck Pain,BEHAVIORAL: Chiropractic|BEHAVIORAL: Osteopathy,Atlas University,,ALL,"CHILD, ADULT",30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2023-11-01,2024-10-25,"Istanbul Atlas University, İstanbul, Kagıthane, 34408, 34403, Turkey|Atlas University, İstanbul, Kağıthane, 34413, Turkey"
NCT02430857,Osteopathy and Latent Hypothyroidism,https://clinicaltrials.gov/study/NCT02430857,UNKNOWN,NO,Latent Hypothyroidism,OTHER: OMT,Emanuel Amier Diekmann,,FEMALE,"ADULT, OLDER_ADULT",40,INDIV,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2015-10,2016-01,
NCT04845269,Post-Stroke Osteopathy,https://clinicaltrials.gov/study/NCT04845269,COMPLETED,NO,Stroke (CVA) or TIA|Fracture|Fall,,VASCage GmbH,Medical University Innsbruck,ALL,"ADULT, OLDER_ADULT",127,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2021-03-31,2023-05-31,"Medical University of Innsbruck, Department of Neurology, Innsbruck, 6020, Austria"
NCT02594774,Efficacy of Osteopathic Treatment in Function Abdominal Pain in Children and Adolescents,https://clinicaltrials.gov/study/NCT02594774,UNKNOWN,NO,Abdominal Pain,OTHER: Manipulative osteopathy,Parc de Salut Mar,,ALL,CHILD,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2015-10,2019-12,"Parc de Salut Mar, Barcelona, 08003, Spain"
NCT03326297,Physiotherapy and Osteopathy on Infant Colic,https://clinicaltrials.gov/study/NCT03326297,COMPLETED,NO,Infantile Colic|Manual Therapy,OTHER: Osteopathy manual therapy|BEHAVIORAL: Measures to support and education to the family,Universidad de Almeria,,ALL,CHILD,120,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2017-01,2020-11,"Universidad de Almería, Almería, 04120, Spain"
NCT06196073,Visceral Osteopathy in Functional Constipation,https://clinicaltrials.gov/study/NCT06196073,RECRUITING,NO,Functional Constipation,OTHER: Osteopathic manual therapy|DIETARY_SUPPLEMENT: conservative treatment,Pamukkale University,,ALL,"ADULT, OLDER_ADULT",18,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2023-10-01,2024-06-30,"Pamukkale University, Denizli, Pamukkale, 20000, Turkey"
NCT02511171,Parental Blinding in Clinical Trials of Osteopathy,https://clinicaltrials.gov/study/NCT02511171,UNKNOWN,NO,Infantile Colic,OTHER: Cranial osteopathic manipulative therapy,European School of Osteopathy,,ALL,CHILD,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (CARE_PROVIDER)|Primary Purpose: TREATMENT,2015-06,2015-12,"European School of Osteopathy, Maidstone, Kent, ME14 3DZ, United Kingdom"
NCT05957263,Biofeedback and Osteopathic Procedures for Daytime Urinary Incontinence,https://clinicaltrials.gov/study/NCT05957263,RECRUITING,NO,Urinary Incontinence,OTHER: Biofeedback training and Osteopathy procedure|OTHER: Biofeedback training|OTHER: Osteopathy procedure,Cairo University,,ALL,CHILD,117,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-07-20,2023-12-20,"Hany Mohamed Elgohary, Cairo, 11432, Egypt"
NCT03751787,Cranial Osteopathy in Functional Disorders of the Newborn,https://clinicaltrials.gov/study/NCT03751787,COMPLETED,NO,Newborn Complication,OTHER: cranial osteopathy|OTHER: comfort massage,"University Hospital, Lille",,ALL,CHILD,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: |Primary Purpose: TREATMENT,2009-09,2016-10,"Maternité Paul Gelé du CH de Roubaix, Roubaix, France"
NCT02805673,Osteopathic Support Evaluation of Fibromyalgia Patients,https://clinicaltrials.gov/study/NCT02805673,UNKNOWN,NO,Fibromyalgia,PROCEDURE: Osteopathy,"University Hospital, Caen",,ALL,"ADULT, OLDER_ADULT",32,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-10,2021-01,"CHU Caen, Caen, 14000, France"
