NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT04214925,Effectiveness of Tai Chi Exercise Program in Scleroderma Patients,https://clinicaltrials.gov/study/NCT04214925,COMPLETED,NO,Tai Chi,OTHER: Tai Chi,Pamukkale University,,ALL,"ADULT, OLDER_ADULT",28,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2019-04-15,2019-06-28,"Pamukkale University, Denizli, Kinikli, Turkey"
NCT03659396,the Effects of Individualized Tai Chi Training on Balance Control in Elderly,https://clinicaltrials.gov/study/NCT03659396,COMPLETED,NO,Tai Ji,OTHER: individualized Tai Chi|OTHER: Entire Tai Chi|OTHER: home-based program,National Yang Ming Chiao Tung University,,ALL,OLDER_ADULT,70,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2012-12,2014-07,
NCT04700150,Tai Chi in Spondyloarthritis,https://clinicaltrials.gov/study/NCT04700150,COMPLETED,NO,Spondyloarthritis,OTHER: Tai Chi 2 month|OTHER: Tai Chi 4 month,"University Hospital, Clermont-Ferrand",,ALL,"ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: NONE|Primary Purpose: TREATMENT,2019-01-07,2021-07-22,"Chu Clermont Ferrand, Clermont-Ferrand, 63003, France"
NCT05693805,Feasibility of Remote Tai Chi,https://clinicaltrials.gov/study/NCT05693805,ACTIVE_NOT_RECRUITING,NO,"PTSD|Pain, Chronic",BEHAVIORAL: Tai Chi|BEHAVIORAL: Wellness program,Boston University,National Center for Complementary and Integrative Health (NCCIH)|VA Boston Healthcare System|Tufts Medical Center,ALL,"ADULT, OLDER_ADULT",55,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2023-06-22,2025-04,"VA Boston Healthcare System, Boston, Massachusetts, 02130, United States"
NCT01854931,Community Dissemination of Tai Ji Quan,https://clinicaltrials.gov/study/NCT01854931,COMPLETED,NO,Older Adults at Risk of Falling,BEHAVIORAL: Tai Ji Quan,Oregon Research Institute,,ALL,OLDER_ADULT,511,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2012-05,2017-09,"Oregon Research Institute, Eugene, Oregon, 97403, United States"
NCT06384898,Remote Tai Chi for Knee Osteoarthritis,https://clinicaltrials.gov/study/NCT06384898,RECRUITING,NO,Knee Osteoarthritis,OTHER: Remote Tai Chi,Tufts Medical Center,"Boston Medical Center|University of California, Los Angeles|The Cleveland Clinic|National Center for Complementary and Integrative Health (NCCIH)",ALL,"ADULT, OLDER_ADULT",480,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2025-01,2027-10,"Tufts Medical Center, Boston, Massachusetts, 02111, United States"
NCT04267471,Tai Chi for Patients With Essential Hypertension,https://clinicaltrials.gov/study/NCT04267471,UNKNOWN,NO,Hypertension,BEHAVIORAL: Tai Chi|BEHAVIORAL: Walking,Chengdu University of Traditional Chinese Medicine,,ALL,"ADULT, OLDER_ADULT",234,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2020-06,2022-12,"Affiliated Hospital of Chengdu University of Traditional Chinese Medicine (Sichuan Provincial Hospital of Traditional Chinese Medicine), Chengdu, Sichuan, 610075, China"
NCT01681082,Psychological Effects of Tai Chi Training,https://clinicaltrials.gov/study/NCT01681082,COMPLETED,NO,Attention Deficit Disorder With Hyperactivity,BEHAVIORAL: Tai Chi training,"University of Wisconsin, Madison",,ALL,ADULT,161,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2012-09,2014-05,"University of Wisconsin-Madison, Waisman Center, Madison, Wisconsin, 53705, United States"
NCT03687190,Could Tai-chi Help Maintain Balance of Spinocerebellar Ataxia Patients,https://clinicaltrials.gov/study/NCT03687190,COMPLETED,YES,Spinocerebellar Ataxias|Tai Chi,BEHAVIORAL: Tai chi|DRUG: conventional medicine,Changhua Christian Hospital,,ALL,"ADULT, OLDER_ADULT",21,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2013-05-13,2015-12-02,
NCT02460666,Brain Connectivity and Response to Tai Chi in Geriatric Depression,https://clinicaltrials.gov/study/NCT02460666,COMPLETED,YES,Major Depressive Disorder,BEHAVIORAL: Tai-Chi-Chih (TCC)|BEHAVIORAL: Health Education and Wellness Classes (HEW),"University of California, Los Angeles",,ALL,"ADULT, OLDER_ADULT",220,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2016-01,2020-12-01,"UCLA Semel Institute, Los Angeles, California, 90095, United States"
