NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT04923698,Effect of Yoga on Postpartum Depression,https://clinicaltrials.gov/study/NCT04923698,COMPLETED,NO,Yoga,OTHER: yoga training,Cairo University,,,"CHILD, ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2019-01-24,2020-03-30,"Ghada Ebrahim Elrefaye, Giza, 12613, Egypt"
NCT04658563,Yoga for Adolescents,https://clinicaltrials.gov/study/NCT04658563,COMPLETED,NO,Yoga,OTHER: High Density Exercise Training Program - Yoga,Baskent University,,FEMALE,"CHILD, ADULT",28,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2020-10-01,2020-12-01,"Baskent University, Ankara, 06790, Turkey"
NCT04457388,Tele-Yoga Therapy for Chronic Pain,https://clinicaltrials.gov/study/NCT04457388,COMPLETED,NO,Chronic Pain,OTHER: Tele-Yoga Therapy,Aarogyam UK,,ALL,ADULT,18,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2020-03-25,2020-06-15,"Aarogyam UK, Leicester, Leicestershire, United Kingdom"
NCT03286933,Yoga Therapy for Adolescents With Juvenile Idiopathic Arthritis,https://clinicaltrials.gov/study/NCT03286933,COMPLETED,NO,Adolescent Juvenile Idiopathic Arthritis|Yoga Therapy,BEHAVIORAL: yoga,Children's Hospital Los Angeles,,ALL,"CHILD, ADULT",10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2017-05-06,2017-06-26,"Children's Hospital Los Angeles, Los Angeles, California, 90027, United States"
NCT02818881,Electromyography and Yoga,https://clinicaltrials.gov/study/NCT02818881,COMPLETED,NO,Yoga,OTHER: High-speed yoga|OTHER: Low-speed yoga,University of Miami,,ALL,ADULT,22,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2015-08,2016-03,"Max Orovitz Laboratory, Coral Gables, Florida, 33146, United States"
NCT03862638,Yoga Therapy for Chronic Tension-Type Headache,https://clinicaltrials.gov/study/NCT03862638,COMPLETED,NO,Chronic Tension-Type Headache,OTHER: Yoga Therapy,NMP Medical Research Institute,"Yog-Kulam|Department of Zoology, University of Rajasthan, India",ALL,ADULT,68,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2010-04-10,2013-01-15,"NMP Medical Research Institue, Jaipur, Rajasthan, 302019, India"
NCT05865067,Yoga Therapy and Oppositional Defiant Disorder Behaviors,https://clinicaltrials.gov/study/NCT05865067,RECRUITING,NO,Oppositional Defiant Disorder in Children|Oppositional Defiant Disorder,OTHER: Yoga Therapy|OTHER: Exercise,University of Puerto Rico,Substance Abuse and Mental Health Services Administration (SAMHSA)|American Psychiatric Association|National Institute on Minority Health and Health Disparities (NIMHD),ALL,CHILD,34,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2023-06-01,2023-12-31,"University of Puerto Rico Medical Sciences Campus, San Juan, 00926, Puerto Rico"
NCT04719039,The Effect of Yoga Self-Practice on Sleep Disturbance,https://clinicaltrials.gov/study/NCT04719039,UNKNOWN,NO,Yoga,BEHAVIORAL: Restorative Yoga Internvention,Chinese University of Hong Kong,,ALL,ADULT,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2021-02,2021-05,"The Chinese University of Hong Kong, Sha Tin, Hong Kong"
NCT04622670,Yoga Therapy During Chemotherapy and Radiation Treatment for the Improvement of Physical and Emotional Well-Being in Patients With Stage IB2-IIIB Cervical Cancer,https://clinicaltrials.gov/study/NCT04622670,ACTIVE_NOT_RECRUITING,NO,"Cervical Adenocarcinoma|Cervical Adenosquamous Carcinoma|Cervical Squamous Cell Carcinoma, Not Otherwise Specified|Stage IB2 Cervical Cancer FIGO 2018|Stage IB3 Cervical Cancer FIGO 2018|Stage II Cervical Cancer FIGO 2018|Stage IIA Cervical Cancer FIGO 2018|Stage IIA1 Cervical Cancer FIGO 2018|Stage IIA2 Cervical Cancer FIGO 2018|Stage IIB Cervical Cancer FIGO 2018|Stage IIIA Cervical Cancer FIGO 2018|Stage IIIB Cervical Cancer FIGO 2018",OTHER: Media Intervention|OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration|OTHER: Survey Administration|PROCEDURE: Yoga,M.D. Anderson Cancer Center,National Cancer Institute (NCI),FEMALE,"ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2020-03-10,2027-01-31,"M D Anderson Cancer Center, Houston, Texas, 77030, United States"
NCT05330026,Ultrasound Imaging of the Diaphragm During Yoga Breathing,https://clinicaltrials.gov/study/NCT05330026,UNKNOWN,NO,Yoga,COMBINATION_PRODUCT: Diaphragm´s study during yoga breathing,Universidad Autonoma de Madrid,,ALL,"ADULT, OLDER_ADULT",80,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: PREVENTION,2022-01-15,2022-09,"Universidad Autónoma de Madrid, Madrid, 29049, Spain"
